Source,Title,Link,Published Date
The Hacker News,North Korean Hackers Target Freelance Developers in Job Scam to Deploy Malware,https://thehackernews.com/2025/02/north-korean-hackers-target-freelance.html,"Thu, 20 Feb 2025 19:07:00 +0530"
The Hacker News,China-Linked Attackers Exploit Check Point Flaw to Deploy ShadowPad and Ransomware,https://thehackernews.com/2025/02/chinese-linked-attackers-exploit-check.html,"Thu, 20 Feb 2025 16:51:00 +0530"
The Hacker News,PCI DSS 4.0 Mandates DMARC By 31st March 2025,https://thehackernews.com/2025/02/pci-dss-40-mandates-dmarc-by-31st-march.html,"Thu, 20 Feb 2025 16:51:00 +0530"
The Hacker News,Cybercriminals Use Eclipse Jarsigner to Deploy XLoader Malware via ZIP Archives,https://thehackernews.com/2025/02/cybercriminals-use-eclipse-jarsigner-to.html,"Thu, 20 Feb 2025 16:42:00 +0530"
The Hacker News,Microsoft's End of Support for Exchange 2016 and 2019: What IT Teams Must Do Now,https://thehackernews.com/2025/02/microsoft-end-of-support-for-exchange-2016-and-exchange-2019.html,"Thu, 20 Feb 2025 15:30:00 +0530"
The Hacker News,Citrix Releases Security Fix for NetScaler Console Privilege Escalation Vulnerability,https://thehackernews.com/2025/02/citrix-releases-security-fix-for.html,"Thu, 20 Feb 2025 10:06:00 +0530"
The Hacker News,Microsoft Patches Actively Exploited Power Pages Privilege Escalation Vulnerability,https://thehackernews.com/2025/02/microsoft-patches-actively-exploited.html,"Thu, 20 Feb 2025 09:59:00 +0530"
The Hacker News,Hackers Exploit Signal's Linked Devices Feature to Hijack Accounts via Malicious QR Codes,https://thehackernews.com/2025/02/hackers-exploit-signals-linked-devices.html,"Wed, 19 Feb 2025 22:29:00 +0530"
The Hacker News,New Snake Keylogger Variant Leverages AutoIt Scripting to Evade Detection,https://thehackernews.com/2025/02/new-snake-keylogger-variant-leverages.html,"Wed, 19 Feb 2025 18:15:00 +0530"
The Hacker News,The Ultimate MSP Guide to Structuring and Selling vCISO Services,https://thehackernews.com/2025/02/the-ultimate-msp-guide-to-structuring.html,"Wed, 19 Feb 2025 16:30:00 +0530"
The Hacker News,Trojanized Game Installers Deploy Cryptocurrency Miner in Large-Scale StaryDobry Attack,https://thehackernews.com/2025/02/trojanized-game-installers-deploy.html,"Wed, 19 Feb 2025 15:05:00 +0530"
The Hacker News,CISA Adds Palo Alto Networks and SonicWall Flaws to Exploited Vulnerabilities List,https://thehackernews.com/2025/02/cisa-adds-palo-alto-networks-and.html,"Wed, 19 Feb 2025 10:18:00 +0530"
The Hacker News,New OpenSSH Flaws Enable Man-in-the-Middle and DoS Attacks — Patch Now,https://thehackernews.com/2025/02/new-openssh-flaws-enable-man-in-middle.html,"Tue, 18 Feb 2025 21:04:00 +0530"
The Hacker News,Chinese Hackers Exploit MAVInject.exe to Evade Detection in Targeted Cyber Attacks,https://thehackernews.com/2025/02/chinese-hackers-exploit-mavinjectexe-to.html,"Tue, 18 Feb 2025 20:39:00 +0530"
The Hacker News,New FrigidStealer Malware Targets macOS Users via Fake Browser Updates,https://thehackernews.com/2025/02/new-frigidstealer-malware-targets-macos.html,"Tue, 18 Feb 2025 18:30:00 +0530"
The Hacker News,Debunking the AI Hype: Inside Real Hacker Tactics,https://thehackernews.com/2025/02/debunking-ai-hype-inside-real-hacker.html,"Tue, 18 Feb 2025 17:50:00 +0530"
The Hacker News,Juniper Session Smart Routers Vulnerability Could Let Attackers Bypass Authentication,https://thehackernews.com/2025/02/juniper-session-smart-routers.html,"Tue, 18 Feb 2025 17:48:00 +0530"
The Hacker News,Winnti APT41 Targets Japanese Firms in RevivalStone Cyber Espionage Campaign,https://thehackernews.com/2025/02/winnti-apt41-targets-japanese-firms-in.html,"Tue, 18 Feb 2025 15:22:00 +0530"
The Hacker News,New Xerox Printer Flaws Could Let Attackers Capture Windows Active Directory Credentials,https://thehackernews.com/2025/02/new-xerox-printer-flaws-could-let.html,"Tue, 18 Feb 2025 12:34:00 +0530"
The Hacker News,Cybercriminals Exploit Onerror Event in Image Tags to Deploy Payment Skimmers,https://thehackernews.com/2025/02/cybercriminals-exploit-onerror-event-in.html,"Tue, 18 Feb 2025 10:56:00 +0530"
The Hacker News,Microsoft Uncovers New XCSSET macOS Malware Variant with Advanced Obfuscation Tactics,https://thehackernews.com/2025/02/microsoft-uncovers-new-xcsset-macos.html,"Mon, 17 Feb 2025 22:00:00 +0530"
The Hacker News,South Korea Suspends DeepSeek AI Downloads Over Privacy Violations,https://thehackernews.com/2025/02/south-korea-suspends-deepseek-ai.html,"Mon, 17 Feb 2025 17:06:00 +0530"
The Hacker News,CISO's Expert Guide To CTEM And Why It Matters,https://thehackernews.com/2025/02/cisos-expert-guide-to-ctem-and-why-it.html,"Mon, 17 Feb 2025 16:30:00 +0530"
The Hacker News,"⚡ THN Weekly Recap: Google Secrets Stolen, Windows Hack, New Crypto Scams and More",https://thehackernews.com/2025/02/thn-weekly-recap-google-secrets-stolen.html,"Mon, 17 Feb 2025 14:49:00 +0530"
The Hacker News,New Golang-Based Backdoor Uses Telegram Bot API for Evasive C2 Operations,https://thehackernews.com/2025/02/new-golang-based-backdoor-uses-telegram.html,"Mon, 17 Feb 2025 14:34:00 +0530"
The Hacker News,Android's New Feature Blocks Fraudsters from Sideloading Apps During Calls,https://thehackernews.com/2025/02/androids-new-feature-blocks-fraudsters.html,"Sat, 15 Feb 2025 15:56:00 +0530"
The Hacker News,New “whoAMI” Attack Exploits AWS AMI Name Confusion for Remote Code Execution,https://thehackernews.com/2025/02/new-whoami-attack-exploits-aws-ami-name.html,"Sat, 15 Feb 2025 00:12:00 +0530"
The Hacker News,Lazarus Group Deploys Marstech1 JavaScript Implant in Targeted Developer Attacks,https://thehackernews.com/2025/02/lazarus-group-deploys-marstech1.html,"Fri, 14 Feb 2025 23:58:00 +0530"
The Hacker News,AI-Powered Social Engineering: Ancillary Tools and Techniques,https://thehackernews.com/2025/02/ai-powered-social-engineering-ancillary.html,"Fri, 14 Feb 2025 16:30:00 +0530"
The Hacker News,Microsoft: Russian-Linked Hackers Using 'Device Code Phishing' to Hijack Accounts,https://thehackernews.com/2025/02/microsoft-russian-linked-hackers-using.html,"Fri, 14 Feb 2025 15:57:00 +0530"
The Hacker News,"RansomHub Becomes 2024’s Top Ransomware Group, Hitting 600+ Organizations Globally",https://thehackernews.com/2025/02/ransomhub-becomes-2024s-top-ransomware.html,"Fri, 14 Feb 2025 15:47:00 +0530"
The Hacker News,PostgreSQL Vulnerability Exploited Alongside BeyondTrust Zero-Day in Targeted Attacks,https://thehackernews.com/2025/02/postgresql-vulnerability-exploited.html,"Fri, 14 Feb 2025 10:33:00 +0530"
The Hacker News,Hackers Use CAPTCHA Trick on Webflow CDN PDFs to Bypass Security Scanners,https://thehackernews.com/2025/02/hackers-use-captcha-trick-on-webflow.html,"Thu, 13 Feb 2025 20:43:00 +0530"
The Hacker News,North Korean APT43 Uses PowerShell and Dropbox in Targeted South Korea Cyberattacks,https://thehackernews.com/2025/02/north-korean-apt43-uses-powershell-and.html,"Thu, 13 Feb 2025 19:56:00 +0530"
The Hacker News,"Fast Deployments, Secure Code: Watch this Learn to Sync Dev and Sec Teams",https://thehackernews.com/2025/02/fast-deployments-secure-code-watch-this.html,"Thu, 13 Feb 2025 17:55:00 +0530"
The Hacker News,RA World Ransomware Attack in South Asia Links to Chinese Espionage Toolset,https://thehackernews.com/2025/02/hackers-exploited-pan-os-flaw-to-deploy.html,"Thu, 13 Feb 2025 17:28:00 +0530"
The Hacker News,AI and Security - A New Puzzle to Figure Out,https://thehackernews.com/2025/02/ai-and-security-new-puzzle-to-figure-out.html,"Thu, 13 Feb 2025 16:30:00 +0530"
The Hacker News,Palo Alto Networks Patches Authentication Bypass Exploit in PAN-OS Software,https://thehackernews.com/2025/02/palo-alto-networks-patches.html,"Thu, 13 Feb 2025 15:09:00 +0530"
The Hacker News,FINALDRAFT Malware Exploits Microsoft Graph API for Espionage on Windows and Linux,https://thehackernews.com/2025/02/finaldraft-malware-exploits-microsoft.html,"Thu, 13 Feb 2025 14:41:00 +0530"
The Hacker News,Microsoft Uncovers Sandworm Subgroup's Global Cyber Attacks Spanning 15+ Countries,https://thehackernews.com/2025/02/microsoft-uncovers-sandworm-subgroups.html,"Wed, 12 Feb 2025 22:32:00 +0530"
The Hacker News,Researchers Find New Exploit Bypassing Patched NVIDIA Container Toolkit Vulnerability,https://thehackernews.com/2025/02/researchers-find-new-exploit-bypassing.html,"Wed, 12 Feb 2025 19:34:00 +0530"
The Hacker News,How to Steer AI Adoption: A CISO Guide,https://thehackernews.com/2025/02/how-to-steer-ai-adoption-ciso-guide.html,"Wed, 12 Feb 2025 16:50:00 +0530"
The Hacker News,North Korean Hackers Exploit PowerShell Trick to Hijack Devices in New Cyberattack,https://thehackernews.com/2025/02/north-korean-hackers-exploit-powershell.html,"Wed, 12 Feb 2025 16:13:00 +0530"
The Hacker News,"Microsoft’s Patch Tuesday Fixes 63 Flaws, Including Two Under Active Exploitation",https://thehackernews.com/2025/02/microsofts-patch-tuesday-fixes-63-flaws.html,"Wed, 12 Feb 2025 15:08:00 +0530"
The Hacker News,Ivanti Patches Critical Flaws in Connect Secure and Policy Secure – Update Now,https://thehackernews.com/2025/02/ivanti-patches-critical-flaws-in.html,"Wed, 12 Feb 2025 11:27:00 +0530"
The Hacker News,Google Confirms Android SafetyCore Enables AI-Powered On-Device Content Classification,https://thehackernews.com/2025/02/google-confirms-android-safetycore.html,"Tue, 11 Feb 2025 20:43:00 +0530"
The Hacker News,4 Ways to Keep MFA From Becoming too Much of a Good Thing,https://thehackernews.com/2025/02/4-ways-to-keep-mfa-from-becoming-too.html,"Tue, 11 Feb 2025 19:00:00 +0530"
The Hacker News,Progress Software Patches High-Severity LoadMaster Flaws Affecting Multiple Versions,https://thehackernews.com/2025/02/progress-software-patches-high-severity.html,"Tue, 11 Feb 2025 17:22:00 +0530"
The Hacker News,Gcore DDoS Radar Reveals 56% YoY Increase in DDoS Attacks,https://thehackernews.com/2025/02/gcore-ddos-radar-reveals-56-yoy.html,"Tue, 11 Feb 2025 16:55:00 +0530"
The Hacker News,Apple Patches Actively Exploited iOS Zero-Day CVE-2025-24200 in Emergency Update,https://thehackernews.com/2025/02/apple-patches-actively-exploited-ios.html,"Tue, 11 Feb 2025 16:46:00 +0530"
BleepingComputer,US healthcare org pays $11M settlement over alleged cybersecurity lapses,https://www.bleepingcomputer.com/news/security/us-healthcare-org-pays-11m-settlement-over-alleged-cybersecurity-lapses/,"Thu, 20 Feb 2025 13:47:21 -0500"
BleepingComputer,Chinese hackers use custom malware to spy on US telecom networks,https://www.bleepingcomputer.com/news/security/salt-typhoon-uses-jumbledpath-malware-to-spy-on-us-telecom-networks/,"Thu, 20 Feb 2025 11:11:59 -0500"
BleepingComputer,Integrating LLMs into security operations using Wazuh,https://www.bleepingcomputer.com/news/security/integrating-llms-into-security-operations-using-wazuh/,"Thu, 20 Feb 2025 10:01:11 -0500"
BleepingComputer,Microsoft fixes Power Pages zero-day bug exploited in attacks,https://www.bleepingcomputer.com/news/security/microsoft-fixes-power-pages-zero-day-bug-exploited-in-attacks/,"Thu, 20 Feb 2025 09:34:14 -0500"
BleepingComputer,Microsoft testing fix for Windows 11 bug breaking SSH connections,https://www.bleepingcomputer.com/news/microsoft/microsoft-testing-fix-for-windows-11-bug-breaking-ssh-connections/,"Thu, 20 Feb 2025 08:19:54 -0500"
BleepingComputer,Darcula PhaaS can now auto-generate phishing kits for any brand,https://www.bleepingcomputer.com/news/security/darcula-phaas-can-now-auto-generate-phishing-kits-for-any-brand/,"Thu, 20 Feb 2025 06:00:00 -0500"
BleepingComputer,New NailaoLocker ransomware used against EU healthcare orgs,https://www.bleepingcomputer.com/news/security/new-nailaolocker-ransomware-used-against-eu-healthcare-orgs/,"Thu, 20 Feb 2025 03:00:00 -0500"
BleepingComputer,CISA and FBI: Ghost ransomware breached orgs in 70 countries,https://www.bleepingcomputer.com/news/security/cisa-and-fbi-ghost-ransomware-breached-orgs-in-70-countries/,"Wed, 19 Feb 2025 15:55:05 -0500"
BleepingComputer,Phishing attack hides JavaScript using invisible Unicode trick,https://www.bleepingcomputer.com/news/security/phishing-attack-hides-javascript-using-invisible-unicode-trick/,"Wed, 19 Feb 2025 15:14:09 -0500"
BleepingComputer,New FrigidStealer infostealer infects Macs via fake browser updates,https://www.bleepingcomputer.com/news/security/new-frigidstealer-infostealer-infects-macs-via-fake-browser-updates/,"Wed, 19 Feb 2025 12:42:39 -0500"
BleepingComputer,Australian fertility services giant Genea hit by security breach,https://www.bleepingcomputer.com/news/security/australian-fertility-services-giant-genea-hit-by-security-breach/,"Wed, 19 Feb 2025 12:40:32 -0500"
BleepingComputer,Palo Alto Networks tags new firewall bug as exploited in attacks,https://www.bleepingcomputer.com/news/security/palo-alto-networks-tags-new-firewall-bug-as-exploited-in-attacks/,"Wed, 19 Feb 2025 10:38:29 -0500"
BleepingComputer,The Browser Blind Spot: Why Your Browser is the Next Cybersecurity Battleground,https://www.bleepingcomputer.com/news/security/the-browser-blind-spot-why-your-browser-is-the-next-cybersecurity-battleground/,"Wed, 19 Feb 2025 10:02:12 -0500"
KrebsOnSecurity,How Phished Data Turns into Apple & Google Wallets,https://krebsonsecurity.com/2025/02/how-phished-data-turns-into-apple-google-wallets/,"Tue, 18 Feb 2025 18:37:26 +0000"
KrebsOnSecurity,"Nearly a Year Later, Mozilla is Still Promoting OneRep",https://krebsonsecurity.com/2025/02/nearly-a-year-later-mozilla-is-still-promoting-onerep/,"Thu, 13 Feb 2025 20:14:47 +0000"
KrebsOnSecurity,"Microsoft Patch Tuesday, February 2025 Edition",https://krebsonsecurity.com/2025/02/microsoft-patch-tuesday-february-2025-edition/,"Wed, 12 Feb 2025 04:58:37 +0000"
KrebsOnSecurity,Teen on Musk’s DOGE Team Graduated from ‘The Com’,https://krebsonsecurity.com/2025/02/teen-on-musks-doge-team-graduated-from-the-com/,"Sat, 08 Feb 2025 00:32:53 +0000"
KrebsOnSecurity,"Experts Flag Security, Privacy Risks in DeepSeek AI App",https://krebsonsecurity.com/2025/02/experts-flag-security-privacy-risks-in-deepseek-ai-app/,"Thu, 06 Feb 2025 21:12:30 +0000"
KrebsOnSecurity,Who’s Behind the Seized Forums ‘Cracked’ & ‘Nulled’?,https://krebsonsecurity.com/2025/02/whos-behind-the-seized-forums-cracked-nulled/,"Tue, 04 Feb 2025 17:09:16 +0000"
KrebsOnSecurity,"FBI, Dutch Police Disrupt ‘Manipulaters’ Phishing Gang",https://krebsonsecurity.com/2025/01/fbi-dutch-police-disrupt-manipulaters-phishing-gang/,"Fri, 31 Jan 2025 18:35:32 +0000"
KrebsOnSecurity,Infrastructure Laundering: Blending in with the Cloud,https://krebsonsecurity.com/2025/01/infrastructure-laundering-blending-in-with-the-cloud/,"Thu, 30 Jan 2025 17:10:08 +0000"
KrebsOnSecurity,A Tumultuous Week for Federal Cybersecurity Efforts,https://krebsonsecurity.com/2025/01/a-tumultuous-week-for-federal-cybersecurity-efforts/,"Tue, 28 Jan 2025 02:50:10 +0000"
KrebsOnSecurity,MasterCard DNS Error Went Unnoticed for Years,https://krebsonsecurity.com/2025/01/mastercard-dns-error-went-unnoticed-for-years/,"Wed, 22 Jan 2025 15:24:41 +0000"
